gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
LOC127102084,102.0285763,-3.197346667,0.675818994,-4.731069554,2.23339975577184e-06,0.000281594
LOC127084554,59.92003157,-8.428001847,1.786268219,-4.718217431,2.37920136362332e-06,0.000296561
LOC127086761,212.2708225,3.220925686,0.682927247,4.716352582,2.40110195507842e-06,0.000296561
LOC127108328,149.4263534,3.242022981,0.687995071,4.712276464,2.44964729999025e-06,0.000298392
LOC127118673,17.70404317,-8.121971349,1.724049768,-4.710984277,2.465232569268e-06,0.000298392
LOC127127284,90.06320965,-3.346712534,0.711658332,-4.702695638,2.56749009627396e-06,0.00030598
LOC127132517,643.7985655,-2.683424316,0.570719884,-4.701823773,2.57847998832279e-06,0.00030598
LOC127132151,46.01719604,4.574773432,0.975487428,4.689730793,2.73564722346337e-06,0.000321478
LOC127100553,208.4615511,2.912298748,0.623672626,4.669595278,3.01793705303688e-06,0.000351241
LOC127108491,572.9217985,2.972884057,0.638052207,4.659311611,3.17268608831659e-06,0.000365735
LOC127075655,73.83028583,4.236418037,0.912537995,4.642456597,3.4429097804529e-06,0.000393141
LOC127097511,236.4588488,3.170170271,0.684979946,4.628121289,3.68997896073488e-06,0.000417416
LOC127118805,34.38993845,6.763552091,1.463691949,4.620884944,3.82106651352365e-06,0.000428242
LOC127074296,25.52626123,-5.201427978,1.133709937,-4.587970704,4.47575428706449e-06,0.000497014
LOC127102317,17.44248665,-8.075339493,1.761519544,-4.584303091,4.55503108052632e-06,0.000501219
LOC127086213,23.04685811,-8.47269456,1.852216275,-4.574354882,4.77689564348922e-06,0.000520897
LOC127085346,36.18472072,6.839383226,1.496538168,4.57013618,4.87407388560262e-06,0.000526748
LOC127073811,104.7636322,-4.028771188,0.882417091,-4.565608746,4.9804692571054e-06,0.000533483
LOC127083642,16.0230045,-8.003689333,1.755715766,-4.558647527,5.14840934620995e-06,0.000546635
LOC127097275,432.7761909,2.891980767,0.635402101,4.551418324,5.32854829075538e-06,0.000551749
LOC127101367,32.29472889,7.977986885,1.75292998,4.551229641,5.33332981043278e-06,0.000551749
LOC127107804,22.38207113,-8.429722727,1.850949171,-4.554270241,5.25677434049308e-06,0.000551749
LOC127074046,112.4978867,4.003504429,0.883059353,4.533675361,5.79660986828558e-06,0.000594595
LOC127084885,26.03270619,7.666841327,1.693998859,4.525883405,6.01437340915907e-06,0.000611748
LOC127138192,24.47600571,-6.099302739,1.34829816,-4.523704711,6.07664891958063e-06,0.000612931
LOC127127917,59.04622546,-3.4387551,0.760578138,-4.521238425,6.14788952295478e-06,0.000614992
LOC127091052,25.313218,-4.804048898,1.064333156,-4.513670247,6.37152582269857e-06,0.000632139
LOC127098457,184.0385162,3.453722005,0.765749622,4.510249702,6.47513615383768e-06,0.000637196
LOC127073925,15.35821751,-7.946808864,1.770144325,-4.489356463,7.14386656450971e-06,0.000684881
LOC127075148,89.28286091,4.82660994,1.074618533,4.491463521,7.07354176312153e-06,0.000684881
LOC127084779,39.74408794,6.978182294,1.55481803,4.488102246,7.18604403605929e-06,0.000684881
LOC127101033,261.0373411,-3.934479951,0.876163451,-4.490577583,7.10302962681498e-06,0.000684881
LOC127088316,28.49531715,-7.355249144,1.644395465,-4.472919866,7.71586983789253e-06,0.000729632
LOC127078377,61.10382704,-3.405508178,0.766933964,-4.440419041,8.97838776321279e-06,0.000842437
LOC127074311,24.25513862,-6.160252895,1.388091619,-4.437929607,9.08283111270515e-06,0.000845681
LOC127107010,86.67122059,6.477734657,1.471509452,4.402101971,1.07207146088598e-05,0.000990561
LOC127076117,28.70501758,-7.400753728,1.684989699,-4.392165562,1.12227183542847e-05,0.001021352
LOC127098172,26.94427267,7.716755334,1.75632055,4.393705542,1.11434730124419e-05,0.001021352
LOC127107226,207.4844165,-2.844424077,0.648520027,-4.386023495,1.15441657366348e-05,0.001035041
LOC127118056,46.22976763,-3.534466485,0.805555484,-4.387613956,1.14600952165826e-05,0.001035041
LOC127087680,49.25964435,5.897714156,1.350086319,4.368397837,1.25161341820219e-05,0.001113936
LOC127118714,199.112605,-4.995314432,1.145192465,-4.361986815,1.28886639068476e-05,0.001130467
LOC127125885,24.1525647,-4.72450351,1.08273921,-4.363473187,1.28013636875992e-05,0.001130467
LOC127076816,106.6429259,2.992973187,0.687326633,4.354513623,1.33362687708458e-05,0.001161311
LOC127091698,61.53334902,4.310499395,0.990543232,4.351651957,1.35115627200829e-05,0.001162818
LOC127101195,116.9338217,-2.793767134,0.642083163,-4.351098571,1.35457135130641e-05,0.001162818
LOC127097969,13.35023319,-7.737965553,1.779976069,-4.347230106,1.37867559799383e-05,0.001166957
LOC127105597,15.61704635,-7.905408148,1.818100243,-4.348169568,1.37278451487266e-05,0.001166957
LOC127106253,13.10230003,-7.700548689,1.774496197,-4.339569002,1.4276243597789e-05,0.001199998
LOC127084039,65.4942598,-3.676997519,0.848405358,-4.334010254,1.46417350102987e-05,0.001222231
LOC127079096,24.92335873,-7.186315892,1.667033665,-4.310840291,1.62635340780027e-05,0.001348314
LOC127086200,33.61955821,-6.596869234,1.531958068,-4.306168275,1.6610671660631e-05,0.001367725
LOC127127378,13.3883756,-7.696071836,1.788521158,-4.303036508,1.68473076400776e-05,0.001377837
